model,label,metric,value,seed
SynTrav,Llama 3.3-70B,SD,0.03028804354188978,3
SynTrav,Llama 3.3-70B,SI,0.031620294916680315,3
SynTrav,Llama 3.3-70B,DARD,0.38943505176520604,3
SynTrav,Llama 3.3-70B,DailyLoc,0.03887177655755681,3
SynTrav,Llama 3.3-70B,SD,0.017807798627273923,7
SynTrav,Llama 3.3-70B,SI,0.02802009894521902,7
SynTrav,Llama 3.3-70B,DARD,0.38450928841125054,7
SynTrav,Llama 3.3-70B,DailyLoc,0.052501458748630735,7
SynTrav,Llama 3.3-70B,SD,0.021310696625189737,13
SynTrav,Llama 3.3-70B,SI,0.02653492402516487,13
SynTrav,Llama 3.3-70B,DARD,0.3747664838556001,13
SynTrav,Llama 3.3-70B,DailyLoc,0.03998728797619471,13
SynTrav,Llama 3.3-70B,SD,0.024130417025465097,27
SynTrav,Llama 3.3-70B,SI,0.02023175971144709,27
SynTrav,Llama 3.3-70B,DARD,0.38209129354158516,27
SynTrav,Llama 3.3-70B,DailyLoc,0.040415712599466955,27
SynTrav,Llama 3.3-70B,SD,0.01993041075983822,42
SynTrav,Llama 3.3-70B,SI,0.02313167376169226,42
SynTrav,Llama 3.3-70B,DARD,0.38443881831194965,42
SynTrav,Llama 3.3-70B,DailyLoc,0.03852999576625322,42
SynTrav,GPT-4o-mini,SD,0.028150625566749927,3
SynTrav,GPT-4o-mini,SI,0.013888709120564672,3
SynTrav,GPT-4o-mini,DARD,0.36841335151456245,3
SynTrav,GPT-4o-mini,DailyLoc,0.05609173860180381,3
SynTrav,GPT-4o-mini,SD,0.01944193649278599,7
SynTrav,GPT-4o-mini,SI,0.017612366443714056,7
SynTrav,GPT-4o-mini,DARD,0.3625115690437039,7
SynTrav,GPT-4o-mini,DailyLoc,0.04499916499163106,7
SynTrav,GPT-4o-mini,SD,0.01626038738969474,13
SynTrav,GPT-4o-mini,SI,0.018993596236758694,13
SynTrav,GPT-4o-mini,DARD,0.38981434838141543,13
SynTrav,GPT-4o-mini,DailyLoc,0.043898537492866,13
SynTrav,GPT-4o-mini,SD,0.019516849710840667,27
SynTrav,GPT-4o-mini,SI,0.015248774728324185,27
SynTrav,GPT-4o-mini,DARD,0.36548302745415073,27
SynTrav,GPT-4o-mini,DailyLoc,0.03872484075339287,27
SynTrav,GPT-4o-mini,SD,0.017060781605936402,42
SynTrav,GPT-4o-mini,SI,0.019189094375893966,42
