label,metric,mean,std,min,max,range,cv
Claude Haiku,DARD,0.4015694468628269,0.010858563757804187,0.38555262781789273,0.4120987794510533,0.026546151633160542,0.027040313556308457
Claude Haiku,DailyLoc,0.05564758279002928,0.00580034742166111,0.048880876545018645,0.06423373668583103,0.015352860140812385,0.10423359166465707
Claude Haiku,SD,0.020100373678171544,0.0018507691127642271,0.018537349338767883,0.02313874339602484,0.004601394057256958,0.0920763535244179
Claude Haiku,SI,0.027588904585322104,0.0027602880923831776,0.02468576763789261,0.03110026715649518,0.006414499518602568,0.10005065927306554
GPT-4o-mini,DARD,0.3699531562548638,0.011327854057254472,0.3625115690437039,0.38981434838141543,0.027302779337711525,0.03061969837459805
GPT-4o-mini,DailyLoc,0.04684519283051691,0.006651549972415506,0.03872484075339287,0.05609173860180381,0.017366897848410938,0.14199002225223864
GPT-4o-mini,SD,0.020086116153201543,0.004731918043809008,0.01626038738969474,0.028150625566749927,0.011890238177055187,0.23558153341928095
GPT-4o-mini,SI,0.016986508181051112,0.0023392073201138446,0.013888709120564672,0.019189094375893966,0.005300385255329294,0.13770972204418624
Llama 3.3-70B,DARD,0.3830481871771183,0.005347031100795173,0.3747664838556001,0.38943505176520604,0.014668567909605967,0.013959160439317652
Llama 3.3-70B,DailyLoc,0.04206124632962048,0.005887477554756854,0.03852999576625322,0.052501458748630735,0.013971462982377517,0.13997392061610783
Llama 3.3-70B,SD,0.02269347331593135,0.004825937923609073,0.017807798627273923,0.03028804354188978,0.012480244914615857,0.21265752740551847
Llama 3.3-70B,SI,0.025907750272040713,0.004399204467456103,0.02023175971144709,0.031620294916680315,0.011388535205233224,0.16980264288727778
w/o daily plan,DARD,0.5124872969920944,0.01510679752891792,0.494281859906933,0.5342783364494246,0.039996476542491555,0.02947740874277896
w/o daily plan,DailyLoc,0.030350134580015557,0.005272468710301755,0.02487316948618597,0.036825290147949115,0.011952120661763144,0.17372142770574336
w/o daily plan,SD,0.016601715784976417,0.0022506197729961165,0.013988865836795579,0.01993170184963256,0.00594283601283698,0.13556549227476813
w/o daily plan,SI,0.13149127900099425,0.012026502350009058,0.11526222785282057,0.1408421143948839,0.02557988654206332,0.09146235736225611
w/o persona + pattern,DARD,0.5894533212575579,0.006680716236655793,0.5812514288963299,0.598180707291877,0.016929278395547143,0.011333749417855424
w/o persona + pattern,DailyLoc,0.09862561906780958,0.0033872453323698657,0.09313188271263129,0.10186316708165556,0.008731284369024275,0.03434447727056579
w/o persona + pattern,SD,0.022844012581286398,0.005004534579469106,0.015232985088789711,0.02738363325499602,0.012150648166206307,0.219074234951559
w/o persona + pattern,SI,0.11351137602943998,0.00641111685936316,0.10860610269128929,0.12067946086045246,0.012073358169163176,0.05647995014790757
with distance reasoning,DARD,0.3737172856152262,0.0031745121092021855,0.3703555636954533,0.3780662791451391,0.007710715449685768,0.008494421401932734
with distance reasoning,DailyLoc,0.043387616447256666,0.0038967527912303276,0.039378201855208066,0.04835350438748897,0.008975302532280904,0.0898125573680071
with distance reasoning,SD,0.20477391002670542,0.007722810918348724,0.19535841223128025,0.21678373152916147,0.021425319297881218,0.037713842145913806
with distance reasoning,SI,0.024341989392486503,0.002775714339518787,0.02148413687441344,0.028388522650640766,0.006904385776227328,0.11402988863250225
with mode + distance reasoning,DARD,0.3720123158637113,0.01020875751739533,0.3606401378548885,0.38819310632783316,0.02755296847294464,0.027441988025835584
with mode + distance reasoning,DailyLoc,0.04402933428221493,0.009398908039262004,0.035365111686353166,0.05767329333208344,0.02230818164573027,0.21346922892401238
with mode + distance reasoning,SD,0.17092062228867716,0.004993450962137068,0.16548384977182665,0.17649512868715223,0.011011278915325579,0.029215029147877523
with mode + distance reasoning,SI,0.029434392516509478,0.003917456243004478,0.02352039082599038,0.03414883291786358,0.010628442091873202,0.13309111920034405
with mode reasoning,DARD,0.37364047427146996,0.006435194985603815,0.3648083713089073,0.3817519987672953,0.01694362745838801,0.017222960114669745
with mode reasoning,DailyLoc,0.0427069104702107,0.004088449757871758,0.037565020490222714,0.04839469321020176,0.010829672719979047,0.09573274472110478
with mode reasoning,SD,0.0029176773409462092,0.0009395775398103961,0.0018928668363398116,0.0041943887669698655,0.002301521930630054,0.3220292822048956
with mode reasoning,SI,0.026449576224211763,0.004908477767966808,0.019667517876572643,0.032366204966432215,0.012698687089859571,0.1855786923146852
