Carimbo de data/hora,"Your participation in this research study is voluntary, anonymous and greatly appreciated. You may choose not to participate. 

By clicking the “Agree” button below, you confirm that:
• you have read the information above
• you voluntarily agree to participate in the study

If you do not wish to participate, please click “Disagree.”",How familiar are you with Dutch travel behaviour and/or the ODiN survey specifically?,  What is your age?  ,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary
2026/07/06 19:50:28,Agree,Not familiar,18 to 24,2,Trip sequence doesn't make sense,Synthetic (model-generated),Doesn’t make sense to go biking twice a day,5,,Real (ODiN survey),,2,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,4,,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,"Distances are unrealistic, Purposes don't fit the profile",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,2,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,2,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,2,"Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,2,"Nothing specific, just a gut feeling",Synthetic (model-generated),,4,,Real (ODiN survey),,2,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),
2026/07/06 20:27:05,Agree,Somewhat familiar,25 to 34,4,,Real (ODiN survey),,2,Trip timing is implausible,Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,4,,Real (ODiN survey),,1,"Trip timing is implausible, Distances are unrealistic",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Distances are unrealistic, Too many or too few trips",Synthetic (model-generated),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,3,,Real (ODiN survey),,2,"Trip sequence doesn't make sense, Too many or too few trips, Diary is too clean",Synthetic (model-generated),,3,,Real (ODiN survey),,2,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,4,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),
2026/07/06 21:06:44,Agree,Not familiar,25 to 34,5,,Real (ODiN survey),,4,,Real (ODiN survey),,2,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Trip timing is implausible, Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),Doesn’t it say retired? And then going to work?,1,Purposes don't fit the profile,Synthetic (model-generated),Picking up with a bike?,1,Distances are unrealistic,Synthetic (model-generated),,2,Distances are unrealistic,Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Synthetic (model-generated),,2,Distances are unrealistic,Synthetic (model-generated),,2,Too many or too few trips,Synthetic (model-generated),,4,,Real (ODiN survey),,2,Trip timing is implausible,Synthetic (model-generated),,2,"Trip timing is implausible, Distances are unrealistic",Synthetic (model-generated),,2,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),
2026/07/06 21:19:26,Agree,Very familiar / I work with ODiN data,45 to 54,3,Trip timing is implausible,Real (ODiN survey),,3,"Nothing specific, just a gut feeling",Real (ODiN survey),,1,Travel mode is unrealistic for this person,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Synthetic (model-generated),,1,Travel mode is unrealistic for this person,Real (ODiN survey),,5,"Nothing specific, just a gut feeling",Real (ODiN survey),NA,2,Purposes don't fit the profile,Real (ODiN survey),,2,Trip timing is implausible,Real (ODiN survey),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Real (ODiN survey),,4,"Nothing specific, just a gut feeling",Real (ODiN survey),,2,Trip sequence doesn't make sense,Real (ODiN survey),,3,"Trip timing is implausible, Trip sequence doesn't make sense",Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,1,Travel mode is unrealistic for this person,Real (ODiN survey),
2026/07/06 21:41:20,Agree,Not familiar,55 to 64,5,,Synthetic (model-generated),,3,,Synthetic (model-generated),,3,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,4,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,4,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,5,,Synthetic (model-generated),,3,,Synthetic (model-generated),
2026/07/06 22:08:01,Agree,Not familiar,25 to 34,3,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,4,,Real (ODiN survey),,3,Too many or too few trips,Real (ODiN survey),,1,Too many or too few trips,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,1,Trip timing is implausible,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,1,Trip timing is implausible,Real (ODiN survey),,1,Too many or too few trips,Real (ODiN survey),,1,Trip timing is implausible,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,1,Trip sequence doesn't make sense,Real (ODiN survey),
2026/07/06 23:32:58,Agree,Not familiar,18 to 24,3,,Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,2,"Nothing specific, just a gut feeling",Synthetic (model-generated),,4,,Synthetic (model-generated),,1,Trip timing is implausible,Synthetic (model-generated),,3,,Real (ODiN survey),,5,,Synthetic (model-generated),,2,Purposes don't fit the profile,Real (ODiN survey),,4,,Synthetic (model-generated),,4,,Real (ODiN survey),,1,Distances are unrealistic,Synthetic (model-generated),,4,,Synthetic (model-generated),,2,Diary is too clean,Real (ODiN survey),,5,,Real (ODiN survey),,2,Too many or too few trips,Synthetic (model-generated),
2026/07/07 00:51:50,Agree,Not familiar,18 to 24,1,Purposes don't fit the profile,Synthetic (model-generated),,4,,Real (ODiN survey),,5,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,5,,Real (ODiN survey),,1,Distances are unrealistic,Synthetic (model-generated),,4,,Real (ODiN survey),,2,Diary is too clean,Synthetic (model-generated),,4,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Distances are unrealistic",Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Trip timing is implausible, Trip sequence doesn't make sense, Distances are unrealistic, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),
2026/07/07 03:00:51,Agree,Not familiar,55 to 64,3,,Synthetic (model-generated),none,2,Diary is too clean,Synthetic (model-generated),none,1,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),none,1,"Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),none,3,,Synthetic (model-generated),none,1,"Travel mode is unrealistic for this person, Trip timing is implausible, Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),none,1,"Trip timing is implausible, Distances are unrealistic, Purposes don't fit the profile",Synthetic (model-generated),,4,,Real (ODiN survey),none,1,Purposes don't fit the profile,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,"Trip timing is implausible, Purposes don't fit the profile",Synthetic (model-generated),,3,,Synthetic (model-generated),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Diary is too clean",Synthetic (model-generated),,3,,Synthetic (model-generated),,2,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),
2026/07/07 05:00:35,Agree,Not familiar,18 to 24,2,Purposes don't fit the profile,Synthetic (model-generated),,5,,Real (ODiN survey),,1,"Trip timing is implausible, Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,2,Distances are unrealistic,Synthetic (model-generated),,4,,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,3,,Real (ODiN survey),,5,,Real (ODiN survey),,1,"Trip timing is implausible, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,3,Travel mode is unrealistic for this person,Real (ODiN survey),,2,Trip timing is implausible,Synthetic (model-generated),,4,,Real (ODiN survey),,2,"Travel mode is unrealistic for this person, Trip timing is implausible",Synthetic (model-generated),
